hour,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,snowed
2025-01-01 00:00:00,9.0,4.0,71.0,0.0,,50.0,11.0,,1006.0,,3.0,0
2025-01-01 01:00:00,7.0,4.8,86.0,0.0,,27.0,6.0,,1004.0,,3.0,0
2025-01-01 02:00:00,7.0,5.0,87.0,2.2,,60.0,13.0,,1003.0,,9.0,0
2025-01-01 03:00:00,7.0,5.5,90.0,4.3,,60.0,13.0,,1002.0,,9.0,0
2025-01-01 04:00:00,8.0,6.3,89.0,4.7,,80.0,15.0,,1000.0,,9.0,0
2025-01-01 05:00:00,8.0,6.9,93.0,1.3,,59.0,7.0,,999.0,,5.0,0
2025-01-01 06:00:00,7.0,5.9,93.0,0.0,,300.0,6.0,,999.0,,5.0,0
2025-01-01 07:00:00,8.0,6.3,89.0,0.0,,40.0,7.0,,999.0,,5.0,0
2025-01-01 08:00:00,8.0,6.5,90.0,0.0,,220.0,6.0,,999.0,,5.0,0
2025-01-01 09:00:00,9.0,6.8,86.0,0.0,,242.0,9.0,,999.0,,5.0,0
2025-01-01 10:00:00,8.0,5.8,86.0,0.0,,240.0,17.0,,999.0,,3.0,0
2025-01-01 11:00:00,8.0,5.8,86.0,0.0,,269.0,9.0,,999.0,,3.0,0
2025-01-01 12:00:00,8.0,5.3,83.0,0.0,,260.0,13.0,,999.0,,2.0,0
2025-01-01 13:00:00,8.0,5.3,83.0,0.0,,259.0,6.0,,1000.0,,1.0,0
2025-01-01 14:00:00,9.0,5.7,80.0,0.0,,255.0,7.0,,1000.0,,1.0,0
2025-01-01 15:00:00,10.0,5.6,74.0,0.0,,255.0,7.0,,1001.0,,2.0,0
2025-01-01 16:00:00,10.0,3.9,66.0,0.0,,280.0,13.0,,1000.0,,3.0,0
2025-01-01 17:00:00,10.0,3.9,66.0,0.0,,257.0,9.0,,1000.0,,3.0,0
2025-01-01 18:00:00,8.0,0.9,61.0,0.0,,260.0,19.0,,1001.0,,3.0,0
2025-01-01 19:00:00,8.0,1.4,63.0,0.0,,280.0,20.0,,1002.0,,3.0,0
2025-01-01 20:00:00,8.0,0.7,60.0,0.2,,280.0,20.0,,1002.0,,7.0,0
2025-01-01 21:00:00,7.0,0.2,62.0,0.2,,270.0,20.0,,1004.0,,17.0,0
2025-01-01 22:00:00,6.0,-2.4,55.0,0.0,,280.0,22.0,,1005.0,,3.0,0
2025-01-01 23:00:00,6.0,-2.4,55.0,0.0,,280.0,19.0,,1006.0,,2.0,0
2025-01-02 00:00:00,6.0,-3.4,51.0,0.0,,270.0,22.0,,1007.0,,1.0,0
2025-01-02 01:00:00,6.0,-5.6,43.0,0.0,,270.0,15.0,,1008.0,,1.0,0
2025-01-02 02:00:00,5.0,-6.5,43.0,0.0,,280.0,22.0,,1008.0,,1.0,0
2025-01-02 03:00:00,5.0,-5.7,46.0,0.0,,280.0,26.0,,1009.0,,2.0,0
2025-01-02 04:00:00,4.0,-4.7,53.0,0.0,,272.0,11.0,,1009.0,,1.0,0
2025-01-02 05:00:00,4.0,-5.0,52.0,0.0,,280.0,17.0,,1009.0,,1.0,0
2025-01-02 06:00:00,3.0,-4.7,57.0,0.0,,267.0,7.0,,1010.0,,1.0,0
2025-01-02 07:00:00,4.0,-3.7,57.0,0.0,,268.0,7.0,,1010.0,,1.0,0
2025-01-02 08:00:00,4.0,-3.7,57.0,0.0,,250.0,13.0,,1011.0,,1.0,0
2025-01-02 09:00:00,4.0,-3.7,57.0,0.0,,267.0,11.0,,1011.0,,1.0,0
2025-01-02 10:00:00,3.0,-5.9,52.0,0.0,,230.0,19.0,,1012.0,,2.0,0
2025-01-02 11:00:00,3.0,-5.9,52.0,0.0,,250.0,9.0,,1012.0,,1.0,0
2025-01-02 12:00:00,3.0,-6.4,50.0,0.0,,270.0,17.0,,1013.0,,1.0,0
2025-01-02 13:00:00,3.0,-6.4,50.0,0.0,,270.0,17.3,,1014.0,,2.0,0
2025-01-02 14:00:00,4.0,-6.6,46.0,0.0,,270.0,28.0,,1014.0,,1.0,0
2025-01-02 15:00:00,5.0,-6.5,43.0,0.0,,270.0,17.0,,1014.0,,1.0,0
2025-01-02 16:00:00,5.0,-7.2,41.0,0.0,,290.0,26.0,,1014.0,,1.0,0
2025-01-02 17:00:00,4.9,-5.7,46.0,0.0,,287.0,24.1,,1013.2,,3.0,0
2025-01-02 18:00:00,6.0,-7.9,36.0,0.0,,283.0,24.5,,1013.0,,2.0,0
2025-01-02 19:00:00,5.0,-8.8,36.0,0.0,,280.0,19.0,,1013.0,,2.0,0
2025-01-02 20:00:00,4.0,-9.4,37.0,0.0,,280.0,22.0,,1014.0,,2.0,0
2025-01-02 21:00:00,3.0,-9.3,40.0,0.0,,280.0,13.0,,1015.0,,3.0,0
2025-01-02 22:00:00,3.0,-8.7,42.0,0.0,,280.0,17.0,,1015.0,,3.0,0
2025-01-02 23:00:00,3.0,-8.7,42.0,0.0,,290.0,26.0,,1015.0,,3.0,0
2025-01-03 00:00:00,2.0,-8.4,46.0,0.0,,270.0,7.0,,1015.0,,3.0,0
2025-01-03 01:00:00,2.0,-8.7,45.0,0.0,,280.0,11.0,,1015.0,,2.0,0
2025-01-03 02:00:00,1.0,-9.0,47.0,0.0,,266.0,6.0,,1015.0,,3.0,0
2025-01-03 03:00:00,1.0,-9.0,47.0,0.0,,265.0,17.3,,1015.0,,3.0,0
2025-01-03 04:00:00,1.0,-9.0,47.0,0.0,,270.0,19.0,,1015.0,,3.0,0
2025-01-03 05:00:00,1.0,-8.0,51.0,0.0,,270.0,15.0,,1015.0,,2.0,0
2025-01-03 06:00:00,1.0,-9.0,47.0,0.0,,261.0,11.0,,1015.0,,1.0,0
