Date (2025),Snow (mm),Flag,Snow on Ground (mm)
01-01,0.0,,0.0
01-02,0.0,,0.0
01-03,0.0,,0.0
01-04,0.0,,0.0
01-05,0.0,,0.0
01-06,22.86,,0.0
01-07,0.0,,30.48
01-08,0.0,,Trace
01-09,0.0,,0.0
01-10,0.0,,0.0
01-11,12.7,,30.48
01-12,0.0,,0.0
01-13,0.0,,0.0
01-14,0.0,,0.0
01-15,0.0,,0.0
01-16,Trace,,0.0
01-17,0.0,,Trace
01-18,0.0,,0.0
01-19,40.64,,0.0
01-20,Trace,,30.48
01-21,0.0,,30.48
01-22,0.0,,30.48
01-23,0.0,,30.48
01-24,0.0,,30.48
01-25,0.0,,30.48
01-26,0.0,,Trace
01-27,0.0,,Trace
01-28,0.0,,0.0
01-29,0.0,,0.0
01-30,0.0,,0.0
01-31,0.0,,0.0
